"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","ensembl"
"Ubp1",1764.08069555397,-0.0524787150288039,0.0857953047937596,-0.611673507716485,0.540753793085918,0.999813356907188,"22221","ENSMUSG00000009741"
"Gm7967",21.5286713679914,0.368040135974095,0.601716403259681,0.611650495117483,0.540769021839045,0.999813356907188,"666182","ENSMUSG00000100009"
"1700066B19Rik",87.9373467959043,-0.184934573083317,0.302416894334878,-0.611521963711893,0.540854082364297,0.999813356907188,"73449","ENSMUSG00000073598"
"Dpm1",10.0301988018593,0.534572465120984,0.874192309638141,0.611504424400922,0.540865690186015,NA,"13480","ENSMUSG00000078919"
"Rasl12",22.2696271302534,0.389051410647731,0.63644221461136,0.611291020167956,0.541006934799299,0.999813356907188,"70784","ENSMUSG00000041696"
"Tdrkh",438.834122478582,0.0886846702308316,0.145106426286459,0.611169832380519,0.54108715285595,0.999813356907188,"72634","ENSMUSG00000041912"
"Tada3",835.741413107831,-0.0664402265001768,0.108722822506349,-0.611097329599744,0.541135147596689,0.999813356907188,"101206","ENSMUSG00000048930"
"Dlg1",1522.85543156614,0.0539050547267497,0.0882262421265363,0.610986634219757,0.541208428833604,0.999813356907188,"13383","ENSMUSG00000022770"
"Mpnd",2777.19424657789,-0.0484894018941628,0.0793690017013906,-0.610936270517729,0.541241771652272,0.999813356907188,"68047","ENSMUSG00000003199"
"Zbtb7a",1594.31340338666,-0.0574887632610838,0.0941074395398297,-0.61088436304499,0.54127613758352,0.999813356907188,"16969","ENSMUSG00000035011"
"Mir7663",1.79426146611232,1.44203711219979,2.36070662997711,0.610849774338022,0.541299038034414,NA,"102465768","ENSMUSG00000098714"
"Gm37084",190.209424473768,0.143325371183432,0.234646261406026,0.610814637849379,0.541322301655376,0.999813356907188,NA,NA
"Iws1",2361.09413497132,0.0473331545383118,0.0774920460500589,0.610813069869586,0.54132333981536,0.999813356907188,"73473","ENSMUSG00000024384"
"Mettl8",299.223913273451,0.105083305138648,0.172094971895225,0.610612291465584,0.541456283483327,0.999813356907188,"228019","ENSMUSG00000041975"
"Prpf38b",1841.00316619401,-0.0515867342488035,0.084491290616041,-0.610556826303345,0.541493012129923,0.999813356907188,"66921","ENSMUSG00000027881"
"Tfap2a",24.6012785138841,-0.339449657035628,0.555983430990453,-0.610539160188492,0.541504710770101,0.999813356907188,"21418","ENSMUSG00000021359"
"Chchd3",2675.48398859858,0.0459968057765583,0.0753450085609936,0.610482454711287,0.54154226243555,0.999813356907188,"66075","ENSMUSG00000053768"
"Fam136a",1407.71091735081,0.0583682026564211,0.0956328833981749,0.61033611643184,0.541639177001112,0.999813356907188,"66488","ENSMUSG00000057497"
"Fam60a",533.20613723974,-0.081294880473778,0.133257479748261,-0.610058667080853,0.54182294546457,0.999813356907188,NA,NA
"Gm43148",2.45288763107424,-1.13429599366879,1.85932435308499,-0.610058159990627,0.541823281364055,NA,NA,NA
"Gm43259",2.45288763107424,-1.13429599366879,1.85932435308499,-0.610058159990627,0.541823281364055,NA,NA,NA
